title,url_path,notes
A/B Testing,/abtest
Basic Auth,/basic_auth,user and pass: admin
File Download,/download
File Upload,/upload
Frames,/frames
JavaScript onload event error,/javascript_error
JavaScript Alerts,/javascript_alerts
JQuery UI Menus,/jqueryui/menu
Form Authentication,/login
Multiple Windows,/windows
Notification Messages,/notification_message
Redirect Link,/redirector
Status Codes,/status_codes
Dynamic Loading,/dynamic_loading
Sortable Data Tables,/tables
Geolocation,/geolocation
Large & Deep DOM,/large
Drag and Drop,/drag_and_drop
Dropdown,/dropdown
Forgot Password,/forgot_password
Checkboxes,/checkboxes
Hovers,/hovers
WYSIWYG Editor,/tinymce
Key Presses,/key_presses
Context Menu,/context_menu
Slow Resources,/slow
Broken Images,/broken_images
Secure File Download,/download_secure
Shifting Content,/shifting_content
Dynamic Content,/dynamic_content
Challenging DOM,/challenging_dom
Disappearing Elements,/disappearing_elements
Dynamic Controls,/dynamic_controls
Typos,/typos
Nested Frames,/nested_frames
Floating Menu,/floating_menu
Infinite Scroll,/infinite_scroll
Exit Intent,/exit_intent
Horizontal Slider,/horizontal_slider
Entry Ad,/entry_ad
Add/Remove Elements,/add_remove_elements/
Inputs,/inputs
Digest Authentication,/digest_auth,user and pass: admin
Shadow DOM,/shadowdom
